Dataset Name,Image Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Organism Part],Term Source 2 REF,Term Source 2 Accession,Characteristics [Age],Experimental Condition [Primary Antibody],Primary Antibody Identifier,Primary Antibody Dilution,Experimental Condition [Secondary Antibody],Secondary Antibody Identifier,Secondary Antibody Dilution,Assay Name,Comment [Image File Type],Comment [Image Stack Voxel Size],Channels,Processed Data File
Bee 1,MBLipOverviewBee1,Apis mellifera,NCBITaxon,7460,mushroom body,UBERON,UBERON_0001058,7 days,SYNORF1,AB_528479,1:10,Goat anti-Mouse IgG (H+L),AB_2534088,1:200,MB calyx overview,raw image stack,1.031x1.031x5 micron,Alexa488,
Bee 1,MicroglomeruliBee1,Apis mellifera,NCBITaxon,7460,mushroom body,UBERON,UBERON_0001058,7 days,SYNORF1,AB_528479,1:10,Goat anti-Mouse IgG (H+L),AB_2534088,1:200,MB calyx lip subregion,raw image stack,0.3438x0.3438x0.5 micron,Alexa488,MGcoordinatesBee1
Bee 2,MBLipOverviewBee2,Apis mellifera,NCBITaxon,7460,mushroom body,UBERON,UBERON_0001058,7 days,SYNORF1,AB_528479,1:10,Goat anti-Mouse IgG (H+L),AB_2534088,1:200,MB calyx overview,raw image stack,1.031x1.031x5 micron,Alexa488,
Bee 2,MicroglomeruliBee2,Apis mellifera,NCBITaxon,7460,mushroom body,UBERON,UBERON_0001058,7 days,SYNORF1,AB_528479,1:10,Goat anti-Mouse IgG (H+L),AB_2534088,1:200,MB calyx lip subregion,raw image stack,0.3438x0.3438x0.5 micron,Alexa488,MGcoordinatesBee2
Bee 3,MBLipOverviewBee3,Apis mellifera,NCBITaxon,7460,mushroom body,UBERON,UBERON_0001058,7 days,SYNORF1,AB_528479,1:10,Goat anti-Mouse IgG (H+L),AB_2534088,1:200,MB calyx overview,raw image stack,1.031x1.031x5 micron,Alexa488,
Bee 3,MicroglomeruliBee3,Apis mellifera,NCBITaxon,7460,mushroom body,UBERON,UBERON_0001058,7 days,SYNORF1,AB_528479,1:10,Goat anti-Mouse IgG (H+L),AB_2534088,1:200,MB calyx lip subregion,raw image stack,0.3438x0.3438x0.5 micron,Alexa488,MGcoordinatesBee3
Bee 4,MBLipOverviewBee4,Apis mellifera,NCBITaxon,7460,mushroom body,UBERON,UBERON_0001058,7 days,SYNORF1,AB_528479,1:10,Goat anti-Mouse IgG (H+L),AB_2534088,1:200,MB calyx overview,raw image stack,1.031x1.031x5 micron,Alexa488,
Bee 4,MicroglomeruliBee4,Apis mellifera,NCBITaxon,7460,mushroom body,UBERON,UBERON_0001058,7 days,SYNORF1,AB_528479,1:10,Goat anti-Mouse IgG (H+L),AB_2534088,1:200,MB calyx lip subregion,raw image stack,0.3438x0.3438x0.5 micron,Alexa488,MGcoordinatesBee4
Bee 5,MBLipOverviewBee5,Apis mellifera,NCBITaxon,7460,mushroom body,UBERON,UBERON_0001058,7 days,SYNORF1,AB_528479,1:10,Goat anti-Mouse IgG (H+L),AB_2534088,1:200,MB calyx overview,raw image stack,1.031x1.031x5 micron,Alexa488,
Bee 5,MicroglomeruliBee5,Apis mellifera,NCBITaxon,7460,mushroom body,UBERON,UBERON_0001058,7 days,SYNORF1,AB_528479,1:10,Goat anti-Mouse IgG (H+L),AB_2534088,1:200,MB calyx lip subregion,raw image stack,0.3438x0.3438x0.5 micron,Alexa488,MGcoordinatesBee5
Bee 6,MBLipOverviewBee6,Apis mellifera,NCBITaxon,7460,mushroom body,UBERON,UBERON_0001058,7 days,SYNORF1,AB_528479,1:10,Goat anti-Mouse IgG (H+L),AB_2534088,1:200,MB calyx overview,raw image stack,1.031x1.031x5 micron,Alexa488,
Bee 6,MicroglomeruliBee6,Apis mellifera,NCBITaxon,7460,mushroom body,UBERON,UBERON_0001058,7 days,SYNORF1,AB_528479,1:10,Goat anti-Mouse IgG (H+L),AB_2534088,1:200,MB calyx lip subregion,raw image stack,0.3438x0.3438x0.5 micron,Alexa488,MGcoordinatesBee6
Bee 7,MBLipOverviewBee7,Apis mellifera,NCBITaxon,7460,mushroom body,UBERON,UBERON_0001058,7 days,SYNORF1,AB_528479,1:10,Goat anti-Mouse IgG (H+L),AB_2534088,1:200,MB calyx overview,raw image stack,1.031x1.031x5 micron,Alexa488,
Bee 7,MicroglomeruliBee7,Apis mellifera,NCBITaxon,7460,mushroom body,UBERON,UBERON_0001058,7 days,SYNORF1,AB_528479,1:10,Goat anti-Mouse IgG (H+L),AB_2534088,1:200,MB calyx lip subregion,raw image stack,0.3438x0.3438x0.5 micron,Alexa488,MGcoordinatesBee7
Bee 8,MBLipOverviewBee8,Apis mellifera,NCBITaxon,7460,mushroom body,UBERON,UBERON_0001058,7 days,SYNORF1,AB_528479,1:10,Goat anti-Mouse IgG (H+L),AB_2534088,1:200,MB calyx overview,raw image stack,1.031x1.031x5 micron,Alexa488,
Bee 8,MicroglomeruliBee8,Apis mellifera,NCBITaxon,7460,mushroom body,UBERON,UBERON_0001058,7 days,SYNORF1,AB_528479,1:10,Goat anti-Mouse IgG (H+L),AB_2534088,1:200,MB calyx lip subregion,raw image stack,0.3438x0.3438x0.5 micron,Alexa488,MGcoordinatesBee8
Bee 9,MBLipOverviewBee9,Apis mellifera,NCBITaxon,7460,mushroom body,UBERON,UBERON_0001058,7 days,SYNORF1,AB_528479,1:10,Goat anti-Mouse IgG (H+L),AB_2534088,1:200,MB calyx overview,raw image stack,1.031x1.031x5 micron,Alexa488,
Bee 9,MicroglomeruliBee9,Apis mellifera,NCBITaxon,7460,mushroom body,UBERON,UBERON_0001058,7 days,SYNORF1,AB_528479,1:10,Goat anti-Mouse IgG (H+L),AB_2534088,1:200,MB calyx lip subregion,raw image stack,0.3438x0.3438x0.5 micron,Alexa488,MGcoordinatesBee9
Bee 10,MBLipOverviewBee10,Apis mellifera,NCBITaxon,7460,mushroom body,UBERON,UBERON_0001058,7 days,SYNORF1,AB_528479,1:10,Goat anti-Mouse IgG (H+L),AB_2534088,1:200,MB calyx overview,raw image stack,1.031x1.031x5 micron,Alexa488,
Bee 10,MicroglomeruliBee10,Apis mellifera,NCBITaxon,7460,mushroom body,UBERON,UBERON_0001058,7 days,SYNORF1,AB_528479,1:10,Goat anti-Mouse IgG (H+L),AB_2534088,1:200,MB calyx lip subregion,raw image stack,0.3438x0.3438x0.5 micron,Alexa488,MGcoordinatesBee10
